Rows,"auto_inc mysql, ms","auto_inc postgres, ms","uuidv1 mysql, ms","uuidv1 postgres, ms","uuidv7 mysql, ms","uuidv7 postgres, ms","varbinary mysql, ms","varbinary postgres, ms","varchar mysql, ms","varchar postgres, ms"
200k,783,284,1071,258,1022,264,1103,351,1179,749
400k,565,247,872,259,1026,330,804,344,1082,832
600k,518,226,837,379,936,253,952,364,1099,825
800k,568,217,1131,227,1083,235,856,365,1116,812
1000k,553,220,783,217,895,206,841,356,1172,822
1200k,520,222,829,227,1222,283,2111,364,1166,860
1400k,518,238,869,227,833,229,864,367,1171,881
1600k,549,237,792,202,862,225,838,383,1187,882
1800k,536,257,1008,194,984,196,865,370,1181,893
2000k,659,325,856,197,939,196,1865,365,1157,909
2200k,761,356,1002,198,1085,200,989,389,1172,931
2400k,771,373,827,191,1172,201,839,366,1203,911
2600k,533,381,812,195,1096,195,1220,360,1184,932
2800k,564,309,939,201,824,192,1213,348,1203,914
3000k,530,264,818,203,886,200,911,371,1248,917
3200k,684,258,825,200,816,211,829,372,1253,926
3400k,788,252,1085,197,816,196,1079,356,1176,992
3600k,717,259,828,202,854,201,1309,338,1201,1342
3800k,525,217,890,258,1033,208,918,386,1230,915
4000k,566,227,834,205,1084,213,932,371,2602,900
4200k,562,229,1076,220,929,195,1233,356,1550,905
4400k,702,230,800,204,1235,192,1011,356,1548,903
4600k,772,234,870,198,804,202,878,391,1489,920
4800k,648,218,964,198,828,202,856,393,1212,915
5000k,580,271,827,226,821,192,908,407,1237,942
5200k,530,236,835,213,824,196,866,371,1217,944
5400k,595,264,1146,223,831,202,894,378,1231,949
5600k,691,237,1157,284,1064,197,1011,335,1212,941
5800k,756,250,834,202,849,201,1299,333,1230,945
6000k,654,234,808,270,847,193,933,329,1172,945
6200k,551,250,813,217,842,219,889,368,1646,946
6400k,1454,247,812,277,1111,199,861,342,1382,1048
6600k,473,253,848,245,835,191,873,351,1294,913
6800k,477,238,864,240,832,220,1104,336,1250,946
7000k,518,237,838,208,1074,223,1228,364,1240,920
7200k,527,217,812,261,820,225,932,350,1373,933
7400k,701,228,803,203,808,236,919,330,1632,919
7600k,778,216,1061,236,816,274,1263,338,1251,933
7800k,532,313,873,206,1098,301,1075,341,2170,921
8000k,580,223,848,204,900,250,881,399,1160,923
8200k,560,239,874,212,846,325,940,375,1229,920
8400k,627,234,845,238,844,225,1948,360,1711,935
8600k,710,222,913,194,1057,197,821,346,1242,947
8800k,732,223,1061,187,818,205,1872,331,1238,919
9000k,545,217,837,257,806,205,759,348,1283,954
9200k,512,214,819,201,841,271,1806,350,1220,969
9400k,523,231,826,255,1040,217,1832,340,1616,955
9600k,575,233,978,238,821,212,764,399,1500,964
9800k,718,241,855,245,812,246,816,334,1217,964
10000k,738,245,830,266,827,289,845,351,1239,951
10200k,601,236,807,276,1062,228,1001,357,1262,1191
10400k,519,247,1052,216,824,205,919,347,1316,1004
10600k,504,217,820,294,842,220,920,337,1744,971
10800k,540,229,802,195,1039,205,1197,353,1406,989
11000k,681,229,821,189,813,227,1138,353,1327,1001
11200k,709,247,1164,190,829,204,1883,346,1360,993
11400k,704,259,820,200,837,201,1853,405,1314,1051
11600k,565,231,856,211,1088,196,1839,389,2008,1106
11800k,506,305,891,247,827,190,797,368,1483,1184
12000k,523,254,811,185,970,207,971,381,1465,1168
12200k,512,221,837,192,852,199,1265,369,1456,2068
12400k,581,223,1056,218,858,200,826,416,1979,1462
12600k,521,217,824,217,1087,192,805,402,1283,1472
12800k,700,218,1025,188,993,198,1058,444,1283,1253
13000k,700,213,879,248,1210,215,853,520,1534,1157
13200k,731,220,835,190,848,195,1002,385,1662,1137
13400k,625,223,828,184,842,196,1234,378,1426,1278
13600k,559,217,809,245,848,194,1002,379,2279,1104
13800k,840,221,1071,192,823,192,937,383,1580,1087
14000k,1517,220,825,219,897,196,1113,473,1336,1115
14200k,481,220,811,194,1146,197,1272,560,1330,1129
14400k,540,236,828,258,881,190,869,415,1359,2262
14600k,502,219,814,296,804,204,873,401,1741,1396
14800k,542,222,842,280,826,208,990,383,1240,1104
15000k,600,219,1094,411,1137,242,964,399,1253,1110
15200k,1591,247,818,298,800,204,1251,408,1270,1076
15400k,485,218,843,298,793,203,991,385,1219,1067
15600k,530,215,956,335,813,201,1135,393,1548,1052
15800k,501,254,820,364,817,208,1051,393,1509,1230
16000k,1548,249,850,355,1096,189,1150,414,1243,1497
16200k,585,236,1059,418,814,202,1924,442,1217,1479
16400k,589,226,810,347,796,195,798,405,1218,1081
16600k,505,242,916,339,821,200,905,385,1264,2267
16800k,1514,226,803,437,1132,191,1231,385,1720,2539
17000k,524,224,827,336,816,199,1160,385,1343,1880
17200k,568,227,820,448,846,202,1069,385,1228,1360
17400k,666,213,952,339,855,197,1185,388,1232,1521
17600k,608,213,819,660,1090,204,1178,400,1666,1406
17800k,712,212,810,338,831,193,1045,396,1424,1453
18000k,686,225,1155,392,813,200,1033,400,1233,1079
18200k,622,224,792,307,816,200,854,417,1244,1102
18400k,763,278,809,381,809,200,944,388,1223,1086
18600k,626,273,1144,294,1143,194,1255,396,1320,1095
18800k,735,227,830,293,859,208,928,444,1822,1091
19000k,745,219,850,383,844,207,888,436,1261,1096
19200k,589,234,1054,326,870,203,876,430,1311,1064
19400k,591,219,830,382,890,215,856,409,1943,1083
19600k,631,229,807,365,1301,291,1084,523,1834,1074
19800k,840,237,896,329,870,216,1235,421,1239,1086
20000k,732,238,1021,352,1145,226,944,377,1205,1317
Rows,"auto_inc mysql, ms","auto_inc postgres, ms","uuidv1 mysql, ms","uuidv1 postgres, ms","uuidv7 mysql, ms","uuidv7 postgres, ms","varbinary mysql, ms","varbinary postgres, ms",,
